,0,1,2,3,4,CityID
95,http://www.ourcampaigns.com/RaceDetail.html?RaceID=779826,Fremont,California,nonpartisan,,95
96,http://www.ourcampaigns.com/RaceDetail.html?RaceID=821720,Baton Rouge,Louisiana,nonpartisan,,96
97,http://www.ourcampaigns.com/RaceDetail.html?RaceID=770401,Richmond,Virginia,nonpartisan,,97
98,http://www.ourcampaigns.com/RaceDetail.html?RaceID=810491,Boise,Idaho,nonpartisan,,98
99,none,San Bernardino,California,,,99
100,http://www.ourcampaigns.com/RaceDetail.html?RaceID=809421,Spokane,Washington,nonpartisan,,100
101,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790853,Birmingham,Alabama,nonpartisan,,101
102,http://www.ourcampaigns.com/RaceDetail.html?RaceID=693276,Modesto,California,nonpartisan,,102
103,http://www.ourcampaigns.com/RaceDetail.html?RaceID=807985,Des Moines,Iowa,nonpartisan,,103
104,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790532,Rochester,New York,partisan,,104
105,http://www.ourcampaigns.com/RaceDetail.html?RaceID=809420,Tacoma,Washington,,,105
106,none,Fontana,California,,,106
107,http://www.ourcampaigns.com/RaceDetail.html?RaceID=690596,Oxnard,California,nonpartisan,,107
108,none,Moreno Valley,California,,,108
109,none,Fayetteville,North Carolina,,,109
110,none,Huntington Beach,California,,,110
111,http://www.ourcampaigns.com/RaceDetail.html?RaceID=809214,Yonkers,New York,partisan,,111
112,none,Glendale,California,,,112
113,http://www.ourcampaigns.com/RaceDetail.html?RaceID=786799,Aurora,Illinois,nonpartisan,,113
114,http://www.ourcampaigns.com/RaceDetail.html?RaceID=806406,Montgomery,Alabama,nonpartisan,,114
115,none,Columbus,Georgia,,,115
116,none,Amarillo,Texas,,,116
117,http://www.ourcampaigns.com/RaceDetail.html?RaceID=824582,Little Rock,Arkansas,nonpartisan,,117
118,http://www.ourcampaigns.com/RaceDetail.html?RaceID=803969,Akron,Ohio,partisan,,118
119,http://www.ourcampaigns.com/RaceDetail.html?RaceID=806785,Shreveport,Louisiana,nonpartisan,,119
120,http://www.ourcampaigns.com/RaceDetail.html?RaceID=49779,Augusta,Georgia,,,120
121,http://www.ourcampaigns.com/RaceDetail.html?RaceID=821502,Grand Rapids,Michigan,nonpartisan,,121
122,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790852,Mobile,Alabama,nonpartisan,,122
123,http://www.ourcampaigns.com/RaceDetail.html?RaceID=805390,Salt Lake City,Utah,nonpartisan,,123
124,http://www.ourcampaigns.com/RaceDetail.html?RaceID=510737,Huntsville,Alabama,nonpartisan,,124
125,http://www.ourcampaigns.com/RaceDetail.html?RaceID=802879,Tallahassee,Florida,nonpartisan,,125
126,none,Grand Prairie,Texas,,,126
127,http://www.ourcampaigns.com/RaceDetail.html?RaceID=784288,Overland Park,Kansas,nonpartisan,,127
128,http://www.ourcampaigns.com/RaceDetail.html?RaceID=813133,Knoxville,Tennessee,nonpartisan,,128
129,http://www.ourcampaigns.com/RaceDetail.html?RaceID=816684,Worcester,Massachusetts,nonpartisan,,129
130,none,Brownsville,Texas,,,130
131,none,Newport News,Virginia,,,131
132,http://www.ourcampaigns.com/RaceDetail.html?RaceID=620896,Santa Clarita,California,nonpartisan,,132
133,none,Port St. Lucie,Florida,,,133
134,http://www.ourcampaigns.com/RaceDetail.html?RaceID=792841,Providence,Rhode Island,partisan,,134
135,http://www.ourcampaigns.com/RaceDetail.html?RaceID=821511,Fort Lauderdale,Florida,nonpartisan,,135
136,http://www.ourcampaigns.com/RaceDetail.html?RaceID=765763,Chattanooga,Tennessee,nonpartisan,,136
137,http://www.ourcampaigns.com/RaceDetail.html?RaceID=821739,Tempe,Arizona,nonpartisan,,137
138,http://www.ourcampaigns.com/RaceDetail.html?RaceID=306197,Oceanside,California,nonpartisan,,138
139,http://www.ourcampaigns.com/RaceDetail.html?RaceID=823915,Garden Grove,California,nonpartisan,,139
140,none,Rancho Cucamonga,California,,,140
0,http://www.ourcampaigns.com/RaceDetail.html?RaceID=212789,Cape Coral,Florida,nonpartisan,,141
1,none,Santa Rosa,California,,,142
2,http://www.ourcampaigns.com/RaceDetail.html?RaceID=234211,Vancouver,Washington,nonpartisan,,143
3,http://www.ourcampaigns.com/RaceDetail.html?RaceID=741369,Sioux Falls,South Dakota,nonpartisan,,144
4,http://www.ourcampaigns.com/RaceDetail.html?RaceID=539332,Peoria,Arizona,nonpartisan,,145
5,none,Ontario,California,,,146
6,http://www.ourcampaigns.com/RaceDetail.html?RaceID=799020,Jackson,Mississippi,partisan,,147
7,none,Elk Grove,California,,,148
8,http://www.ourcampaigns.com/RaceDetail.html?RaceID=809182,Springfield,Missouri,nonpartisan,,149
9,http://www.ourcampaigns.com/RaceDetail.html?RaceID=820842,Pembroke Pines,Florida,nonpartisan,,150
10,http://www.ourcampaigns.com/RaceDetail.html?RaceID=817959,Salem,Oregon,nonpartisan,,151
11,none,Corona,California,,,152
12,http://www.ourcampaigns.com/RaceDetail.html?RaceID=818312,Eugene,Oregon,nonpartisan,,153
13,none,McKinney,Texas,,,154
14,none,Fort Collins,Colorado,,,155
15,none,Lancaster,California,,,156
16,http://www.ourcampaigns.com/RaceDetail.html?RaceID=390465,Cary,North Carolina,partisan,,157
17,none,Palmdale,California,,,158
18,none,Hayward,California,,,159
19,none,Salinas,California,,,160
20,none,Frisco,Texas,,,161
21,http://www.ourcampaigns.com/RaceDetail.html?RaceID=813330,Springfield,Massachusetts,nonpartisan,,162
22,none,Pasadena,Texas,	,,163
23,http://www.ourcampaigns.com/RaceDetail.html?RaceID=731571,Macon,Georgia,partisan,,164
24,http://www.ourcampaigns.com/RaceDetail.html?RaceID=806236,Alexandria,Virginia,partisan,,165
25,none,Pomona,California,,,166
26,http://www.ourcampaigns.com/RaceDetail.html?RaceID=819873,Lakewood,Colorado,nonpartisan,,167
27,none,Sunnyvale,California,,,168
28,none,Escondido,California,,,169
