,State,County,City,web,state,city,CityID
194,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=322357,Arizona,Glendale,88.0
195,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=791794,Florida,Hialeah,89.0
196,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=539331,Arizona,Scottsdale,91.0
197,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=635717,Texas,Irving,92.0
198,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=781478,Nevada,North Las Vegas,94.0
199,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=779826,California,Fremont,95.0
200,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=821720,Louisiana,Baton Rouge,96.0
201,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=770401,Virginia,Richmond,97.0
202,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=810491,Idaho,Boise,98.0
203,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=809421,Washington,Spokane,100.0
204,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790853,Alabama,Birmingham,101.0
205,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=693276,California,Modesto,102.0
206,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=807985,Iowa,Des Moines,103.0
207,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790532,New York,Rochester,104.0
208,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=809420,Washington,Tacoma,105.0
209,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=690596,California,Oxnard,107.0
210,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=809214,New York,Yonkers,111.0
211,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=786799,Illinois,Aurora,113.0
212,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=806406,Alabama,Montgomery,114.0
213,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=824582,Arkansas,Little Rock,117.0
214,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=803969,Ohio,Akron,118.0
215,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=806785,Louisiana,Shreveport,119.0
216,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=49779,Georgia,Augusta,120.0
217,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=821502,Michigan,Grand Rapids,121.0
218,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790852,Alabama,Mobile,122.0
219,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=805390,Utah,Salt Lake City,123.0
220,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=510737,Alabama,Huntsville,124.0
221,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=802879,Florida,Tallahassee,125.0
222,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=784288,Kansas,Overland Park,127.0
223,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=813133,Tennessee,Knoxville,128.0
224,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=816684,Massachusetts,Worcester,129.0
225,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=620896,California,Santa Clarita,132.0
226,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=792841,Rhode Island,Providence,134.0
227,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=821511,Florida,Fort Lauderdale,135.0
228,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=765763,Tennessee,Chattanooga,136.0
229,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=821739,Arizona,Tempe,137.0
230,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=306197,California,Oceanside,138.0
231,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=823915,California,Garden Grove,139.0
232,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=212789,Florida,Cape Coral,141.0
233,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=234211,Washington,Vancouver,143.0
234,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=741369,South Dakota,Sioux Falls,144.0
235,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=539332,Arizona,Peoria,145.0
236,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=799020,Mississippi,Jackson,147.0
237,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=809182,Missouri,Springfield,149.0
238,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=820842,Florida,Pembroke Pines,150.0
239,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=817959,Oregon,Salem,151.0
240,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=818312,Oregon,Eugene,153.0
241,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=390465,North Carolina,Cary,157.0
242,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=813330,Massachusetts,Springfield,162.0
243,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=731571,Georgia,Macon,164.0
244,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=806236,Virginia,Alexandria,165.0
245,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=819873,Colorado,Lakewood,167.0
246,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=784700,Kansas,Kansas City,170.0
247,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=595544,Kansas,Kansas City,171.0
248,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=59526,Florida,Hollywood,172.0
249,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=786820,Illinois,Rockford,175.0
250,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=799784,Illinois,Joliet,176.0
251,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=613570,New Jersey,Paterson,177.0
252,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=806920,Connecticut,Bridgeport,178.0
253,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=799783,Illinois,Naperville,179.0
254,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=808201,Georgia,Savannah,180.0
255,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790585,New York,Syracuse,182.0
256,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=791538,Ohio,Dayton,187.0
257,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=281741,Washington,Bellevue,189.0
258,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=809454,Florida,Miramar,190.0
259,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=643025,South Carolina,Columbia,195.0
260,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=808198,South Carolina,Charleston,199.0
261,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=798607,Iowa,Cedar Rapids,203.0
262,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=808208,Connecticut,New Haven,204.0
263,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=39309,California,Roseville,205.0
264,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=812044,Florida,Gainesville,206.0
265,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=789591,New Jersey,Elizabeth,210.0
266,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790970,Connecticut,Stamford,211.0
267,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=539334,Arizona,Surprise,213.0
268,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=783319,Kansas,Topeka,215.0
269,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=280005,Washington,Kent,216.0
270,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=825304,California,Santa Clara,218.0
271,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=806918,Connecticut,Hartford,220.0
272,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=825388,Georgia,Athens,221.0
273,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=773915,California,Berkeley,225.0
274,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=580482,Oklahoma,Norman,226.0
275,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=786928,Pennsylvania,Allentown,227.0
276,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=808190,Indiana,Evansville,228.0
277,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=806257,Missouri,Columbia,229.0
278,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=691223,North Dakota,Fargo,231.0
279,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=800387,Missouri,Independence,233.0
280,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=809482,Michigan,Ann Arbor,234.0
281,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=799779,Illinois,Springfield,236.0
282,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=825019,Utah,Provo,240.0
283,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=786798,Illinois,Peoria,241.0
284,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=626992,Michigan,Lansing,242.0
285,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=820068,Florida,Clearwater,248.0
286,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=799782,Illinois,Elgin,251.0
287,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=228361,Utah,West Jordan,253.0
288,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=810267,California,Inglewood,254.0
289,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=786658,Massachusetts,Lowell,256.0
290,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=659560,Montana,Billings,261.0
291,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=808199,New Hampshire,Manchester,262.0
292,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=824679,California,Richmond,265.0
293,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=808209,Connecticut,Waterbury,269.0
294,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=747391,Washington,Everett,272.0
295,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=263768,Florida,Palm Bay,274.0
296,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=821512,Florida,West Palm Beach,278.0
297,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=627964,Georgia,Sandy Springs,281.0
298,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=820848,Wisconsin,Green Bay,283.0
299,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=789143,New Jersey,Edison,293.0
300,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=806484,Iowa,Davenport,294.0
301,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=277467,New Jersey,Woodbridge,296.0
302,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=819440,New Mexico,Las Cruces,297.0
