,Name,City,CityID,CandID,Sam,winner ever,winner_key ever,follower ever,follower_key ever,Career Start Year,Career End Year,Wikipedia,Linkedin,Others1,Others2,Others3,Others4,Term Start Year,Web
3678, James E. Harris, Los Angeles ,1.0,1013.0,0.0,0.0,0.0,1.0,0.0,1985.0,2009.0,,,,,,,2,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=1013
6067, Sal Genovese, Los Angeles ,1.0,117844.0,0.0,1.0,0.0,0.0,0.0,1985.0,1985.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=117844
1358, Arnold B. Luster, Los Angeles ,1.0,162529.0,0.0,0.0,0.0,1.0,0.0,1981.0,1981.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=162529
4885, Max Odrezin, Los Angeles ,1.0,162530.0,0.0,1.0,0.0,0.0,0.0,1981.0,1981.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=162530
6090, Sam Manuel, Los Angeles ,1.0,908.0,0.0,0.0,0.0,1.0,0.0,1977.0,2003.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=908
5050, Michael A. Hirt, Los Angeles ,1.0,27460.0,0.0,1.0,0.0,0.0,0.0,1977.0,1977.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=27460
762, (I) Mayor Tom Bradley, Los Angeles ,1.0,16715.0,0.0,1.0,1.0,1.0,0.0,1969.0,1989.0,,,,,,,4,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=16715
2326, City Councilmember Tom Bradley, Los Angeles ,1.0,16715.0,0.0,1.0,1.0,1.0,0.0,1969.0,1989.0,,,,,,,2,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=16715
713, (I) Mayor Samuel W. Yorty, Los Angeles ,1.0,10890.0,0.0,1.0,1.0,1.0,0.0,1945.0,1981.0,,,,,,,3,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=10890
4997, Mayor Samuel W. Yorty, Los Angeles ,1.0,10890.0,0.0,1.0,1.0,1.0,0.0,1945.0,1981.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=10890
5731, Rep. Samuel W. Yorty, Los Angeles ,1.0,10890.0,0.0,1.0,1.0,1.0,0.0,1945.0,1981.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=10890
6111, Samuel W. Yorty, Los Angeles ,1.0,10890.0,0.0,1.0,1.0,1.0,0.0,1945.0,1981.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=10890
2444," County Commissioner Jesus G. ""Chuy"" Garcia", Chicago ,2.0,77533.0,0.0,0.0,0.0,1.0,0.0,2015.0,2015.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=77533
638, (I) Mayor Rahm Emanuel, Chicago ,2.0,2813.0,1.0,1.0,1.0,0.0,0.0,2011.0,2015.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=2813
1886, Chief of Staff Rahm Emanuel, Chicago ,2.0,2813.0,1.0,1.0,1.0,0.0,0.0,2011.0,2015.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=2813
1071, (W) Tom Hanson, Chicago ,2.0,181567.0,0.0,0.0,0.0,1.0,0.0,2011.0,2011.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=181567
5406, Patricia Van Pelt, Chicago ,2.0,259542.0,0.0,1.0,0.0,0.0,0.0,2011.0,2011.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=259542
1943, Circuit Clerk Dorothy Brown, Chicago ,2.0,34069.0,1.0,1.0,0.0,0.0,0.0,2007.0,2007.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=34069
6978," William ""Dock"" Walls, III", Chicago ,2.0,113906.0,0.0,0.0,0.0,1.0,0.0,2007.0,2015.0,,,,,,,3,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=113906
5454, Paul Jakes, Chicago ,2.0,6427.0,1.0,0.0,0.0,1.0,0.0,2003.0,2003.0,,,http://ajwright.com/documents/Rev.PaulJakesCV.pdf,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=6427
4272," Joseph McAfee, Jr.", Chicago ,2.0,6564.0,0.0,1.0,0.0,0.0,0.0,2003.0,2003.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=6564
5696, Rep. Bobby Rush, Chicago ,2.0,1075.0,1.0,0.0,0.0,1.0,0.0,1999.0,1999.0,,,http://rush.house.gov/,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=1075
4530, Lawrence Redmond, Chicago ,2.0,3685.0,0.0,1.0,0.0,0.0,0.0,1995.0,1995.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=3685
3737, James Warren, Chicago ,2.0,4273.0,0.0,0.0,0.0,1.0,0.0,1991.0,1991.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=4273
285, (I) Mayor Eugene Sawyer, Chicago ,2.0,20025.0,0.0,1.0,0.0,0.0,0.0,1987.0,1989.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=20025
1174, Alderman Eugene Sawyer, Chicago ,2.0,20025.0,0.0,1.0,0.0,0.0,0.0,1987.0,1989.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=20025
1190, Alderman Timothy Evans, Chicago ,2.0,20027.0,0.0,0.0,0.0,1.0,0.0,1987.0,1989.0,,,,,,,2,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=20027
663, (I) Mayor Richard M. Daley, Chicago ,2.0,4544.0,1.0,1.0,1.0,1.0,0.0,1983.0,2007.0,,,,,,,5,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=4544
7200," u""State's Attorney Richard M. Daley"", link': CandidateDetail.html?CandidateID=4544'}", Chicago ,2.0,4544.0,1.0,1.0,1.0,1.0,0.0,1983.0,2007.0,,,,,,,2,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=4544
1480, Bernard Epton, Chicago ,2.0,32499.0,0.0,0.0,0.0,1.0,0.0,1983.0,1983.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=32499
2370, Cleve Andrew Pulley, Chicago ,2.0,4487.0,0.0,0.0,0.0,1.0,0.0,1979.0,1979.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=4487
394, (I) Mayor Jane Byrne, Chicago ,2.0,6569.0,0.0,1.0,1.0,0.0,0.0,1979.0,1991.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=6569
3749, Jane Byrne, Chicago ,2.0,6569.0,0.0,1.0,1.0,0.0,0.0,1979.0,1991.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=6569
4950, Mayor Jane Byrne, Chicago ,2.0,6569.0,0.0,1.0,1.0,0.0,0.0,1979.0,1991.0,,,,,,,2,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=6569
346, (I) Mayor Harold Washington, Chicago ,2.0,6568.0,0.0,1.0,1.0,0.0,0.0,1977.0,1987.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=6568
5712, Rep. Harold Washington, Chicago ,2.0,6568.0,0.0,1.0,1.0,0.0,0.0,1977.0,1987.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=6568
6409, St. Sen. Harold Washington, Chicago ,2.0,6568.0,0.0,1.0,1.0,0.0,0.0,1977.0,1987.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=6568
2692, Dennis Brasky, Chicago ,2.0,59838.0,0.0,1.0,0.0,0.0,0.0,1977.0,1977.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=59838
5683, Reject, Chicago ,2.0,3567.0,0.0,0.0,0.0,1.0,0.0,1976.0,2015.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=3567
562, (I) Mayor Michael Bilandic, Chicago ,2.0,8213.0,0.0,1.0,1.0,1.0,0.0,1976.0,1979.0,,,,,,,2,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=8213
4981, Mayor Michael Bilandic, Chicago ,2.0,8213.0,0.0,1.0,1.0,1.0,0.0,1976.0,1979.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=8213
5064, Michael Bilandic, Chicago ,2.0,8213.0,0.0,1.0,1.0,1.0,0.0,1976.0,1979.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=8213
7107, Willie Mae Reid, Chicago ,2.0,17661.0,0.0,0.0,0.0,1.0,0.0,1975.0,1992.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=17661
5788, Richard Friedman, Chicago ,2.0,8208.0,0.0,0.0,0.0,1.0,0.0,1971.0,1971.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=8208
661, (I) Mayor Richard J. Daley, Chicago ,2.0,8200.0,0.0,1.0,1.0,0.0,0.0,1955.0,1975.0,,,,,,,5,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=8200
6444, St. Sen. Richard J. Daley, Chicago ,2.0,8200.0,0.0,1.0,1.0,0.0,0.0,1955.0,1975.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=8200
1533, Bill King, Houston ,3.0,346093.0,0.0,0.0,0.0,1.0,0.0,2016.0,2016.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=346093
2707, Derek Jenkins, Houston ,3.0,336882.0,0.0,0.0,0.0,1.0,0.0,2014.0,2014.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=336882
4444, Kevin Simms, Houston ,3.0,283377.0,0.0,1.0,0.0,0.0,0.0,2012.0,2012.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=283377
110, (I) Mayor Annise Parker, Houston ,3.0,211993.0,1.0,1.0,1.0,1.0,0.0,2010.0,2014.0,,,,,,,2,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=211993
1974, City Controller Annise Parker, Houston ,3.0,211993.0,1.0,1.0,1.0,1.0,0.0,2010.0,2014.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=211993
3218, Gene L. Locke, Houston ,3.0,211995.0,1.0,0.0,0.0,1.0,0.0,2010.0,2010.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=211995
1240, Amanda Ulman, Houston ,3.0,162410.0,0.0,1.0,0.0,0.0,0.0,2008.0,2012.0,,,,,,,3,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=162410
3332, Gladys Marie House, Houston ,3.0,103063.0,0.0,1.0,0.0,0.0,0.0,2006.0,2006.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=103063
141, (I) Mayor Bill White, Houston ,3.0,20841.0,1.0,0.0,1.0,1.0,0.0,2004.0,2008.0,,,,,,,2,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=20841
1552, Bill White, Houston ,3.0,20841.0,1.0,0.0,1.0,1.0,0.0,2004.0,2008.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=20841
2257, City Councilmember Orlando Sanchez, Houston ,3.0,20845.0,0.0,1.0,0.0,1.0,0.0,2002.0,2004.0,,,,,,,2,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=20845
6," ""Outlaw"" Josey Wales, IV", Houston ,3.0,103062.0,0.0,0.0,0.0,1.0,0.0,2000.0,2012.0,,,,,,,2,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=103062
505, (I) Mayor Lee P. Brown, Houston ,3.0,22959.0,1.0,1.0,1.0,0.0,0.0,1998.0,2002.0,,,,,,,2,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=22959
2827, Drug Czar Lee P. Brown, Houston ,3.0,22959.0,1.0,1.0,1.0,0.0,0.0,1998.0,2002.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=22959
5863, Robert A. Mosbacher Jr., Houston ,3.0,98767.0,0.0,0.0,0.0,1.0,0.0,1998.0,1998.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=98767
2579, Dave Wilson, Houston ,3.0,103694.0,0.0,1.0,0.0,0.0,0.0,1996.0,2012.0,,,,,,,2,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=103694
4680," Luis Ralph Ullrich, Jr.", Houston ,3.0,22958.0,0.0,0.0,0.0,1.0,0.0,1994.0,2010.0,,,,,,,5,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=22958
1662, Brian A. Bowen, Houston ,3.0,178613.0,0.0,1.0,0.0,0.0,0.0,1994.0,1994.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=178613
6358, St. Rep. Sylvester Turner, Houston ,3.0,5894.0,1.0,1.0,1.0,1.0,0.0,1992.0,2016.0,,,http://votesmart.org/candidate/biography/8018/sylvester-turner#.UelFN2T72XQ,http://ballotpedia.org/wiki/index.php/Sylvester_Turner,,,3,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=5894
149, (I) Mayor Bob Lanier, Houston ,3.0,103095.0,0.0,1.0,1.0,1.0,0.0,1992.0,1996.0,,,,,,,2,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=103095
1599, Bob Lanier, Houston ,3.0,103095.0,0.0,1.0,1.0,1.0,0.0,1992.0,1996.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=103095
3381, Greg Rosenberg, Houston ,3.0,178615.0,0.0,0.0,0.0,1.0,0.0,1990.0,1990.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=178615
4833, Mary J. Pritchard, Houston ,3.0,178639.0,0.0,0.0,0.0,1.0,0.0,1988.0,1988.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=178639
3345," Glenn Edward Arnett, Jr.", Houston ,3.0,178640.0,0.0,1.0,0.0,0.0,0.0,1988.0,1988.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=178640
6579, Susan Director, Houston ,3.0,21645.0,0.0,0.0,0.0,1.0,0.0,1986.0,1986.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=21645
4142, John McCabe, Houston ,3.0,178642.0,0.0,1.0,0.0,0.0,0.0,1986.0,1986.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=178642
