,CandID
377,135069
378,135070
379,217709
380,213972
381,136711
382,217710
383,68458
384,201447
385,135067
386,214041
387,136613
388,135052
389,214042
390,16113
391,135065
392,213905
393,6794
394,133514
395,214003
396,214002
397,40544
398,135064
399,208392
400,208393
401,213969
402,213968
403,68729
404,321
405,214487
406,214488
407,19048
408,135060
409,68726
410,11324
411,2563
412,2568
413,23292
414,3661
415,2571
416,2565
417,2567
418,135020
419,69102
420,117402
421,30231
422,6804
423,125508
424,125509
425,201440
426,245418
427,245458
428,68581
429,208876
430,245454
431,245455
432,208164
433,19094
434,338559
435,338681
436,338560
437,108399
438,108909
439,26728
440,59932
441,59933
442,59934
443,163928
444,163929
445,4676
446,26727
447,26729
448,59935
449,59936
450,59937
451,59938
452,59939
453,59940
454,217905
455,59941
456,71344
457,216826
458,59942
459,173540
460,315056
461,99206
462,59943
463,59944
464,201730
465,97402
466,315062
467,179140
468,209291
469,209290
470,99204
471,99205
472,85289
473,97390
474,105098
475,287782
476,287781
477,287784
478,287785
479,223990
480,99207
481,209293
482,246402
483,99208
484,99209
485,209292
486,173298
487,315042
488,275289
489,315043
490,209180
491,275288
492,157298
493,275301
494,19684
495,71345
496,173299
497,315054
498,35220
499,209181
500,315052
501,315051
502,315053
503,53710
504,71346
505,108633
506,53723
507,307899
508,4673
509,287859
510,53709
511,140246
512,140248
513,4672
514,53708
515,140250
516,140251
517,53707
518,53704
519,140255
520,53705
521,8229
522,140256
523,288015
524,53703
525,140257
526,140259
527,140260
528,140262
529,140264
530,116826
531,19356
532,140265
533,140266
534,18702
535,53702
536,110099
537,110100
538,96182
539,96183
540,96184
541,20924
542,288016
543,101354
544,14811
545,77398
546,18858
547,96179
548,96180
549,71464
550,15140
551,110102
552,110103
553,110101
554,96178
555,27189
556,8304
557,8224
558,96177
559,16123
560,59945
561,15144
562,132409
563,115244
564,132410
565,4813
566,3512
567,8305
568,96163
569,110104
570,110105
571,96164
572,4838
573,96166
574,16121
575,96176
576,4812
577,463
578,4814
579,20265
580,99932
581,19339
582,99933
583,99934
584,4815
585,99936
586,99937
587,462
588,4835
589,153
590,4837
591,4836
592,81695
593,81696
594,105844
595,148
596,145
597,154
598,152
599,42590
600,42591
601,42589
602,155
603,24631
604,34407
605,144
606,146
607,43382
608,43381
609,147
610,150
611,149
612,151
613,105954
614,100360
615,109754
616,105500
617,105501
618,128311
619,3504
620,227993
621,6815
622,221756
623,225630
624,240449
625,222808
626,244166
627,212594
628,256224
629,258217
630,244168
631,2621
632,291752
633,338684
634,348540
635,338686
636,338687
637,338685
638,145410
639,338682
640,6805
641,3511
642,11353
643,120397
644,345469
645,100152
646,102828
647,102829
648,102830
649,102831
650,102832
651,102833
652,163122
653,163118
654,102835
655,134450
656,163116
657,163120
658,163117
659,163119
660,163121
661,102834
662,163123
663,161735
664,102836
665,161737
666,161736
667,161738
668,97423
669,100150
670,73805
671,161734
672,161732
673,161733
674,156931
675,100151
676,161730
677,161731
678,161727
679,161726
680,161725
681,161728
682,161729
683,381058
684,381057
685,19731
686,161720
687,19730
688,100153
689,161724
690,161722
691,19720
692,19789
693,23480
694,99327
695,161723
696,163124
697,163126
698,163125
699,99325
700,161850
701,97562
702,99326
703,160688
704,97422
705,22322
706,97652
707,155861
708,161851
709,161852
710,161854
711,161855
712,153550
713,161853
714,161856
715,97650
716,223141
717,223142
718,75317
719,73804
720,155862
721,4200
722,12576
723,223144
724,223143
725,71199
726,95129
727,148753
728,148754
729,148755
730,97542
731,223145
732,175335
733,223154
734,99270
735,162068
736,160470
737,162069
738,162067
739,99271
740,35234
741,156904
742,156905
743,156906
744,20279
745,223150
746,162070
747,162071
748,162072
749,155253
750,8389
751,160463
752,160464
753,99274
754,155514
755,78921
756,160471
757,160472
758,223146
759,4710
760,20280
761,12545
762,160686
763,8268
764,160687
765,160689
766,223147
767,223148
768,223149
769,20278
770,223151
771,223152
772,4726
773,20277
774,223153
775,155545
776,12563
777,12542
778,132526
779,154311
780,132525
781,4019
782,12529
783,12541
784,10218
785,12543
786,8033
787,12544
788,4907
789,6873
790,12551
791,132531
792,12560
793,12521
794,12561
795,8521
796,8523
797,8522
798,8524
799,132527
800,19725
801,132529
802,132530
803,4908
804,2595
805,8269
806,8271
807,8274
808,132517
809,8272
810,21356
811,132516
812,8219
813,8220
814,156
815,464
816,2598
817,8218
818,68294
819,157
820,68295
821,42593
822,42592
823,158
824,42594
825,2608
826,625
827,88191
828,9927
829,129695
830,18314
831,253439
832,249504
833,253440
834,626
835,303697
836,188880
837,237539
838,213781
839,157010
840,322
841,257115
842,183518
843,6897
844,257117
845,257118
846,257116
847,155931
848,10779
849,4893
850,155924
851,8388
852,4899
853,8390
854,8391
855,4901
856,8392
857,2599
858,8275
859,8276
860,8278
861,8277
862,2600
863,2606
864,58676
865,58680
866,58711
867,58730
868,50488
869,50575
870,58710
871,58727
872,58728
873,4997
874,58709
875,58726
876,35899
877,223824
878,223826
879,223825
880,55230
881,58708
882,53956
883,58723
884,54039
885,58706
886,58389
887,10904
888,58679
889,223558
890,223556
891,223557
892,223559
893,58678
894,58705
895,51828
896,51826
897,15901
898,51827
899,223571
900,223572
901,26245
902,9466
903,223552
904,223553
905,223554
906,223555
